Donor,Year,Amount_millions,Corporation
"New Vision Microelectronics, Inc.",2015,0.25,1
"Nissan Motor Company, Ltd",2012,0.53,1
Nobel Foundation,2013,0.381313,0
"NXP Semiconductors, Inc",2013,0.25,0
Oak Foundation,2015,0.45,0
Office for the Coordination of Soci,2015,0.393551,0
ONDRAF/NIRAS,2013,0.562992,0
ONDRAF/NIRAS,2015,0.724938,0
Open Society Foundations,2015,0.265,0
Panasonic Corporation,2016,1.45,1
PEPperPRINT,2015,0.292672,1
Philomathia Discovery Fund at Kavli,2014,1.5,0
Robert Bosch Corp GMBH,2016,1.5,1
Samsung Electronics Company Ltd,2012,1.640642,1
Samsung Electronics Company Ltd,2013,4.494999,1
Samsung Electronics Company Ltd,2014,2.469993,1
Samsung Electronics Company Ltd,2015,1.544993,1
Samsung Electronics Company Ltd,2016,0.62,1
Samsung Group,2015,0.32,1
"Sekisui Chemical Co.,Ltd",2016,0.357,1
Semiconductor Manufacturing Interna,2014,0.25,1
Shanghai Industrial Technology Res,2013,0.25,1
Siemens,2012,4.722051,1
Siemens,2013,0.470509,1
Sigrid Rausing Trust,2015,0.748056,1
Sony Corp,2013,0.25,1
STMicroelectronics,2012,0.675,1
"Tahir, Mr.",2010,0.3,0
"Tahir, Mr.",2011,0.3,0
"Tahir, Mr.",2012,0.7,0
Taiwan Semiconductor Manufacturing,2016,1.1,1
Taiwan Semiconductor Mfg Co Ltd,2010,0.499975,1
Teva Pharmaceutical Industries Inc.,2016,0.257882,1
The Academy of Korean Studies,2013,0.871114,0
The Education Foundation of USTC,2013,0.3,0
The Education Foundation of USTC,2016,0.5,0
The Philomathia Foundation,2015,1,0
The Research Council of Norway,2012,0.28841,0
Toshiba Corporation,2015,0.25,1
Toyota Motor Corporation,2016,1.5,1
"U.S. Embassy in Islamabad, Pakistan",2013,3.094886,0
UBS Optimus Foundation,2010,1.409537,0
UBS Optimus Foundation,2014,0.274913,0
United Kingdom Department for International Development,2016,7.711154,0
Univerisity of Agder,2014,0.312693,0
Univeristy of California Trust UK,2013,0.403183,0
University of California Trust UK,2014,5,0
University of Jeddah,2016,0.93,0
Vietnam National University,2014,1,0
Volvo Research Foundation,2010,1.369978,0
Cher Wang,2012,0.3,1
"Wu, Hsioh K, Mr.",2010,1,0
XiangLi Chen,2013,0.36072,0
